04-02 13:03:27: Training starting...
04-02 13:03:27: New best reward 19.0 (-100.0%) at episode 0, saving model...
04-02 13:03:27: New best reward 37.0 (+94.7%) at episode 1, saving model...
04-02 13:03:28: New best reward 47.0 (+27.0%) at episode 7, saving model...
04-02 13:03:29: New best reward 53.0 (+12.8%) at episode 57, saving model...
04-02 13:03:30: New best reward 60.0 (+13.2%) at episode 132, saving model...
04-02 13:03:31: New best reward 65.0 (+8.3%) at episode 156, saving model...
04-02 13:03:38: New best reward 78.0 (+20.0%) at episode 510, saving model...
04-02 13:03:39: New best reward 101.0 (+29.5%) at episode 549, saving model...
04-02 13:03:47: New best reward 109.0 (+7.9%) at episode 820, saving model...
04-02 13:03:48: New best reward 139.0 (+27.5%) at episode 832, saving model...
04-02 13:03:54: New best reward 140.0 (+0.7%) at episode 957, saving model...
04-02 13:04:01: New best reward 158.0 (+12.9%) at episode 1144, saving model...
04-02 13:04:33: New best reward 163.0 (+3.2%) at episode 1734, saving model...
04-02 13:04:51: New best reward 261.0 (+60.1%) at episode 1945, saving model...
04-02 13:05:35: New best reward 275.0 (+5.4%) at episode 2308, saving model...
04-02 13:06:02: New best reward 307.0 (+11.6%) at episode 2453, saving model...
04-02 13:06:27: New best reward 376.0 (+22.5%) at episode 2585, saving model...
04-02 13:06:54: New best reward 399.0 (+6.1%) at episode 2684, saving model...
04-02 13:07:09: New best reward 496.0 (+24.3%) at episode 2733, saving model...
04-02 13:07:38: New best reward 591.0 (+19.2%) at episode 2835, saving model...
04-02 13:09:17: New best reward 611.0 (+3.4%) at episode 3103, saving model...
04-02 13:10:01: New best reward 666.0 (+9.0%) at episode 3201, saving model...
04-02 13:12:59: New best reward 722.0 (+8.4%) at episode 3610, saving model...
04-02 13:13:05: New best reward 983.0 (+36.1%) at episode 3619, saving model...
04-02 13:16:56: New best reward 1080.0 (+9.9%) at episode 3973, saving model...
04-02 13:17:26: New best reward 1116.0 (+3.3%) at episode 4007, saving model...
04-02 13:17:28: New best reward 1136.0 (+1.8%) at episode 4009, saving model...
04-02 13:17:33: New best reward 2502.0 (+120.2%) at episode 4012, saving model...
04-02 13:17:40: New best reward 4546.0 (+81.7%) at episode 4018, saving model...
04-02 13:23:48: New best reward 100000.0 (+2099.7%) at episode 4041, saving model...
