04-02 13:59:44: Training starting...
04-02 13:59:45: New best reward -7.5 (-100.0%) at episode 0, saving model...
04-02 13:59:46: New best reward -6.9 (-8.0%) at episode 10, saving model...
04-02 13:59:46: New best reward -6.3 (-8.7%) at episode 12, saving model...
04-02 13:59:48: New best reward -5.7 (-9.5%) at episode 38, saving model...
04-02 13:59:49: New best reward -5.1 (-10.5%) at episode 62, saving model...
04-02 13:59:51: New best reward -4.5 (-11.8%) at episode 83, saving model...
04-02 14:00:08: New best reward -0.3 (-93.3%) at episode 405, saving model...
04-02 14:00:20: New best reward 2.1 (-800.0%) at episode 680, saving model...
04-02 14:00:22: New best reward 3.9 (+85.7%) at episode 738, saving model...
04-02 14:00:43: New best reward 4.1 (+5.1%) at episode 1191, saving model...
04-02 14:00:47: New best reward 4.6 (+12.2%) at episode 1278, saving model...
04-02 14:00:53: New best reward 6.2 (+34.8%) at episode 1422, saving model...
04-02 14:01:18: New best reward 6.3 (+1.6%) at episode 1947, saving model...
04-02 14:01:20: New best reward 6.4 (+1.6%) at episode 1973, saving model...
04-02 14:01:24: New best reward 6.8 (+6.2%) at episode 2059, saving model...
04-02 14:01:46: New best reward 8.4 (+23.5%) at episode 2296, saving model...
04-02 14:02:30: New best reward 8.5 (+1.2%) at episode 3089, saving model...
04-02 14:02:51: New best reward 12.9 (+51.8%) at episode 3431, saving model...
04-02 14:07:01: New best reward 13.9 (+7.8%) at episode 8022, saving model...
04-02 14:11:15: New best reward 17.9 (+28.8%) at episode 12430, saving model...
04-02 14:14:02: New best reward 22.4 (+25.1%) at episode 15230, saving model...
04-02 14:16:43: New best reward 23.6 (+5.4%) at episode 17380, saving model...
04-02 14:20:21: New best reward 29.5 (+25.0%) at episode 20099, saving model...
04-02 15:05:15: New best reward 31.9 (+8.1%) at episode 52237, saving model...
04-02 15:08:48: New best reward 32.4 (+1.6%) at episode 54760, saving model...
04-02 15:12:13: New best reward 37.6 (+16.0%) at episode 56916, saving model...
